seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extracted
21,Medium,Y,,2026,"Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin","Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asym",ECONOMIC MODELLING,10.1016/j.econmod.2026.107559,,,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
22,Medium,Y,,2026,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",Navigating global waters: performance outcomes of internationalization in family businesses,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
25,Medium,Y,,2026,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",Product innovation strategy and firm performance: Novelty and internationalization as mediators,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
26,Medium,Y,,2026,"Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan","Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internati",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2026.116151,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
27,Medium,Y,,2026,"Kaur, Navjot; Singh, Balwinder",Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of,GLOBAL BUSINESS REVIEW,10.1177/09721509261437526,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
33,Medium,Y,,2025,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica",The effect of restructuring internationalized companies on performance: Evidence from European firms,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,1,M,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe,
36,Medium,Y,,2025,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
41,Medium,Y,,2025,"Xu, Xin; Sun, Meiya","Digital Transformation, Internationalisation and ESG Performance of Multinational Companies",MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.4496,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
42,Medium,Y,,2025,"Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu","Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating",ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2025.2450465,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
43,Medium,Y,,2025,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, S",Configuring international entrepreneurial orientation and dynamic internationalization capability to predict internation,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102275,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
46,Medium,Y,,2025,"Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharisma","Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sust",SUSTAINABILITY,10.3390/su17041576,2,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
50,Medium,Y,,2025,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-025-00573-9,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
53,Medium,Y,,2025,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,
56,Medium,Y,,2025,"Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; ","Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spa",JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,1,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,
62,Medium,Y,,2025,"Zhong, Xi; Ren, Ge; Wu, Xiaojie","Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalizati",INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0045,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
68,Medium,Y,,2025,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,3,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
76,Medium,Y,,2025,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; N",Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
77,Medium,Y,,2025,"Tran, Ai-Cam; Dao, Thu-Hien Thi","Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisat",JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVE,10.1504/jibed.2025.10071182,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
78,Medium,Y,,2025,"Shih, Yu-Yuan; Lin, Chih-An",Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sus,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-01-2025-0047,,,3,FDI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
80,Medium,Y,,2025,"Chang, Yali; Wu, Yijie; Lv, Yue",RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,10.1080/16081625.2025.2596994,,,3,other,TFP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
81,Medium,Y,,2025,"Shin, Joon-Ho; Choi, Chang-Bum",Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-fa,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
912,Medium,Y,,2025,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,SUSTAINABILITY,10.3390/su17062580,1,H,3,,,NR,NR,,
90,Medium,Y,,2024,"da Cunha, Henrique Correa; Amal, Mohamed; Floriani, Dinora Eliete; Fleury, Maria",Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-08-2021-1299,2,,3,other,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; fp_auto:pm:Accounting,
91,Medium,Y,,2024,"Wang, Xuetong; Feng, Xu; He, Yujun; Cui, Xuezhu; Song, Xiangnan; Xi, Mingbo; Liu",How does corporate internationalization affect the link between social responsibility and financial performance? Evidenc,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,10.1080/09640568.2023.2189057,2,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
95,Medium,Y,,2024,"Zhang, Wei; Zhong, Xiuli; Li, Xue",The impact of degree of internationalization of MNEs on green innovation performance: The moderating role of absorptive ,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2592,,,3,DOI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
99,Medium,Y,,2024,"Khatua, Apalak; Mondal, Arindam; Dhanda, Supria",The internationalization and performance of INVs: Liability or learning advantages of newness?,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-023-00345-2,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
108,Medium,Y,,2024,"Johanson, Martin; Oliveira, Luis",The Performance of Decision-Making Strategies in SME Internationalization: The Role of Host Market's Institutional Devel,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-024-00534-8,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
111,Medium,Y,,2024,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",Effects of female CEO and female CFO on internationalization and firm performance,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF BUSINESS I,10.1108/cg-12-2022-0512,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
114,Medium,Y,,2024,"Zhang, Jintao; Chen, Stephen; Tan, Hao",The Internationalization-Environmental Performance Relationship: Does it Differ between MNEs in Advanced and Less Advanc,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.3797,1,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
117,Medium,Y,,2024,"Arbelo, Antonio; Arbelo-Perez, Marta; Perez-Gomez, Pilar",Internationalization and individual firm performance: a resource-based view,EURASIAN BUSINESS REVIEW,10.1007/s40821-024-00276-5,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
119,Medium,Y,,2024,"Carchano, Marcos; Carrasco, Inmaculada; Gonzalez, Angela; Saez-Martinez, Francis",Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive envi,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2894,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
120,Medium,Y,,2024,"Wang, Shanshan; Chen, Fenglan; Yang, Xiaoyan","Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed ",HELIYON,10.1016/j.heliyon.2024.e33492,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
125,Medium,Y,,2024,"Purkayastha, Anish; Karna, Amit; Sharma, Sunil; Bhadra, Dhiman",Role of resource investment management and strategic resource deployment capabilities in internationalization-performanc,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101122,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
132,Medium,Y,,2024,"Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas","When market leads innovation: The interplay of internationalisation, innovation and productivity among Swedish wood manu",WORLD ECONOMY,10.1111/twec.13639,1,M,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:sweden,
134,Medium,Y,,2024,"Soesetio, Yuli; Siswanto, Ely; Subagyo, Muhammad; Fuad, Muhammad; Rudiningtyas, ",The role of internationalisation in moderating the impact of ESG disclosure on financial performance,ECONOMICS AND BUSINESS REVIEW,10.18559/ebr.2024.3.1217,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
913,Medium,Y,,2024,"Jain, Samta; Kashiramka, Smita; Jain, P. K.",Performance of cross-border acquirers from India and China: its sustainability in the long-run?,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-01-2023-0002,2,M,3,,,NR,NR,,
914,Medium,Y,,2024,"Dallocchio, Maurizio; Lambri, Marcello; Sironi, Emiliano; Teti, Emanuele",The Role of Digitalization in Cross-Border E-Commerce Performance of Italian SMEs,SUSTAINABILITY,10.3390/su16020508,,,3,,,NR,NR,,
915,Medium,Y,,2024,"Du, Helen S.; Colovic, Ana",The impact of global city location intensity on MNE performance: Leveraging learning and connectivity,LONG RANGE PLANNING,10.1016/j.lrp.2023.102409,,,3,,,NR,NR,,
916,Medium,Y,,2024,"Melgarejo, Mauricio",Earnings quality of multinational corporations: Evidence from Latin America before and after IFRS implementation,JOURNAL OF CORPORATE ACCOUNTING AND FINANCE,10.1002/jcaf.22729,,,3,,,NR,NR,,
917,Medium,Y,,2024,"Lages, Luis Filipe; Silva, Graca Miranda; Canhoto, Ana Isabel; Martinez, Luis F.","Balancing people, planet and profit: export strategies for sustainable value creation",SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,10.1108/sampj-09-2023-0687,,,3,,,NR,NR,,
918,Medium,Y,,2024,"Khasanov, Shokhrukh; Hiwatari, Masato",Firm productivity and manufacturing exports in transition economies: An institutional and trade geography perspective,INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,10.1007/s10368-024-00629-5,,,3,,LAB,NR,NR,,
919,Medium,Y,,2024,"Amornkitvikai, Yot; Charoenrat, Teerawat","The impact of female chief executive officers, ownership, and globalization on ASEAN manufacturers' technical efficiency",RESEARCH IN GLOBALIZATION,10.1016/j.resglo.2024.100206,,,3,,,NR,NR,,
141,Medium,Y,,2023,"Barbosa, Natalia","Outward Foreign Direct Investment, Restructuring and Performance Upgrading: Firm-level Evidence from Portugal",GLOBAL BUSINESS REVIEW,10.1177/0972150920916035,,,3,FDI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
144,Medium,Y,,2023,"Porto, Rafael Barreiros; Gomes Akitaya, Paula Borges; Oliveira, Denise Santos",Country of brand origin positioning and financial performance: effects on internationalized companies from an emerging m,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-11-2020-1423,2,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
145,Medium,Y,,2023,"Rahman, Mahfuzur; Hack-Polay, Dieu; Shafique, Sujana; Igwe, Paul Agu",Dynamic capability of the firm: analysis of the impact of internationalisation on SME performance in an emerging economy,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2021-0236,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
150,Medium,Y,,2023,"Pastelakos, Evangelos; Theodoraki, Christina; Catanzaro, Alexis",The role of innovation and internationalization support in small- and medium-sized enterprises' export performance,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12513,1,M,3,EXP,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe; doi_type_auto:Export performance / export outcome,
151,Medium,Y,,2023,"Dayan, Mumin; Leung, Frank Yat Cheong; Ozer, Muammer",Role of imported raw materials in the performance of inward foreign direct investments in Ethiopia,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-09-2020-1097,2,,3,FDI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
157,Medium,Y,,2023,"Rienda, Laura; Ruiz-Fernandez, Lorena; Poveda-Pareja, Esther; Andreu-Guerrero, R",CSR drivers of fashion SMEs and performance: the role of internationalization,JOURNAL OF FASHION MARKETING AND MANAGEMENT,10.1108/jfmm-06-2021-0151,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
163,Medium,Y,,2023,"Luu, Tien Dung; Trinh, Lan Anh; Nguyen, Thanh Phuong Binh; Ngo, Ngoc Linh Chi; L",Degree of internationalisation and firm performance: the flattening role of organisational slack resources,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-03-2022-0030,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
167,Medium,Y,,2023,"Sadeghi, Arash; Aliasghar, Omid; Bouguerra, Abderaouf",Unpacking the relationship between post-entry speed of internationalization and export performance of SMEs: A capability,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2022.100982,,,3,EXP,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Export performance / export outcome,
168,Medium,Y,,2023,"Mendes, Telma; Silva, Carina; Braga, Alexandra","Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Internationalisation, and Performance",SUSTAINABILITY,10.3390/su15032003,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
182,Medium,Y,,2023,"Park, Sang-Bum",Internationalization and firm performance: moderating role of multi-stakeholder initiatives,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2022-0168,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
187,Medium,Y,,2023,"Batsakis, Georgios; Theoharakis, Vasilis; Li, Chengguang; Konara, Palitha",Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,JOURNAL OF RETAILING,10.1016/j.jretai.2023.07.005,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
188,Medium,Y,,2023,"Liao, Hsing-Kuo; Liao, Chin-Wen; Chen, Cheng-Chi; Chen, Tzu-Wen",Examining the Impact of Internationalization and Competitive Advantages on Enterprise Performance in Taiwan's Computer N,SUSTAINABILITY,10.3390/su152115652,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
920,Medium,Y,,2023,"Camino-Mogro, Segundo; Ordenana-Rodriguez, Xavier; Vera-Gilces, Paul",Learning-by-exporting vs. self-selection in Ecuadorian manufacturing firms: Evidence from different industry classificat,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2094451,2,L,3,,,NR,NR,,
195,Medium,Y,,2022,"Zhang, Song; Li, Haoze; Chen, Chunlai",Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-07-2020-0795,2,,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
198,Medium,Y,,2022,"Ding, Zhenkuo; Ye, Guangyu; Huang, Sheng; Hu, Man",How learning orientation drives the international performance of INVs: the roles of entrepreneurial bricolage and degree,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-07-2020-0155,,,3,DOI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
204,Medium,Y,,2022,"Bicakcioglu-Peynirci, Nilay; Morgan, Robert E.",Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Stra,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x211030686,2,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
205,Medium,Y,,2022,"Xiao, Peng; Sun, Xiaoxia",Does internationalization strategy promote enterprise innovation performance?-The moderating effect of environmental com,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.3482,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
207,Medium,Y,,2022,"Azman, Mohd Azrai; Hon, Carol K. H.; Xia, Bo; Lee, Boon L.; Skitmore, Martin",Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environ,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000985,2,H,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
210,Medium,Y,,2022,"Varas-Fuente, Oscar Javier; Arguedas-Sanz, Raquel; Rodrigo-Moya, Beatriz",Internationalisation and performance in family businesses: influence of the internationalisation path followed,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,10.1504/ijesb.2022.124453,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
215,Medium,Y,,2022,"Sang, Meiyue; Zhang, Yuqing; Ye, Kunhui; Jiang, Weiyan",Moderating Effects of Internationalization between Corporate Social Responsibility and Financial Performance: The Case o,BUILDINGS,10.3390/buildings12020185,,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
226,Medium,Y,,2022,"Zhong, Xi; Chen, Weihong; Ren, Ge",The effects of performance shortfalls on firms' exploitation and exploration R&D internationalization decisions: Does in,TECHNOVATION,10.1016/j.technovation.2021.102408,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
229,Medium,Y,,2022,"Smallbone, David; Saridakis, George; Abubakar, Yazid Abdullahi",Internationalisation as a stimulus for SME innovation in developing economies: Comparing SMEs in factor-driven and effic,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.01.045,,,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
237,Medium,Y,,2022,"Singh, Rashmeet; Chandrashekar, Deepak; Hillemane, Bala Subrahmanya Mungila; Suk",Network cooperation and economic performance of SMEs: Direct and mediating impacts of innovation and internationalisatio,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.04.032,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
241,Medium,Y,,2022,"Cao, Xin; Li, Peng; Huang, Xiaozhi; Fan, Limin",The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical e,PLOS ONE,10.1371/journal.pone.0263674,2,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
248,Medium,Y,,2022,"Zhao, Xiaoyang; Yi, Changjun; Zhan, Yun; Guo, Minmin",Business environment distance and innovation performance of EMNEs: The mediating effect of R&D internationalization,JOURNAL OF INNOVATION & KNOWLEDGE,10.1016/j.jik.2022.100241,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
254,Medium,Y,,2022,"Mishra, Abhishek; Anning-Dorson, Thomas",Dynamic customer-oriented relational capabilities: how do they impact internationalizing firm performance?,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/jstp-10-2021-0202,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
256,Medium,Y,,2022,"Chang, Asma; Mubarik, Shujaat",Taking the international route: Investigating the impact of socioemotional wealth dimensions on family firm performance ,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2022.100305,,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
264,Medium,Y,,2021,"Hejazi, Walid; Tang, Jianmin; Wang, Weimin","Selection, learning, and productivity at the firm level: Evidence from Canadian outward FDI",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00343-9,1,L,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:canada,
265,Medium,Y,,2021,"Srivastava, Mohit; Tyll, Ladislav",The effect of industry-specific networking behaviour on the internationalization performance of Czech SMEs,EUROPEAN BUSINESS REVIEW,10.1108/ebr-10-2019-0244,3,M,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
267,Medium,Y,,2021,"Sharapov, Dmitry; Kattuman, Paul; Rodriguez, Diego; Velazquez, F. Javier","Using the SHAPLEY value approach to variance decomposition in strategy research: Diversification, internationalization, ",STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3236,1,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
274,Medium,Y,,2021,"Dadzie, Zaynab; Agyapong, Ahmed; Suglo, Abdulai",The role of internationalization in entrepreneurial orientation-performance link: empirical study of SMEs in a developin,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-09-2019-0126,,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
277,Medium,Y,,2021,"Rahko, Jaana",R&D internationalization and firm productivity. Does the host country matter?,APPLIED ECONOMICS,10.1080/00036846.2020.1853668,,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
292,Medium,Y,,2021,"Meschi, Pierre-Xavier; Ricard, Antonin; Moore, Ernesto Tapia",Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,MANAGEMENT,10.37725/mgmt.v24i1.4507,,,3,EXP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Exporting / export activity,
295,Medium,Y,,2021,"Ubeda-Garcia, Mercedes; Rienda, Laura; Carmen Zaragoza-Saez, Patrocinio; Andreu-","The impact of knowledge management on the internationalization, organizational ambidexterity and performance of Spanish ",INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,10.1108/ijchm-10-2020-1141,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,
296,Medium,Y,,2021,"Zhang, Banruo; Li, Zijie; Li, Xiaomeng; Liu, Ziqi",Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2020-0249,2,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
301,Medium,Y,,2021,"Merlevede, Bruno; Theodorakopoulos, Angelos",Productivity effects of internationalisation through the domestic supply chain,JOURNAL OF APPLIED ECONOMETRICS,10.1002/jae.2837,,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
318,Medium,Y,,2020,"Kim, Heechun; Wu, Jie; Schuler, Douglas A.; Hoskisson, Robert E.","Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in anothe",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-019-00279-9,2,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
