seq,title,authors,year,journal,doi_enriched,doi_source,study_id,effect_id,country,sample_start,sample_end,n,r,r_quadratic,turning_point,icrv,cdai,cdai_source,cdai_missing,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,include_flag,notes
370,Geographic export diversification: Determinants and their link with export performance,"Cos, Pilar; Colonn, Antonio; Cabases, Angels",2019,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21991,crossref_score=73,Cos_2019,,,,,,,,,,,,,3,,,,,,,,
371,Microfoundations of firm internationalization: The owner CEO effect,"Chittoor, Raveendra; Aulakh, Preet S.; Ray, Sougata",2019,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1193,crossref_score=73,Chittoor_2019,,,,,,,,,,,,,3,,,,,,,,
372,An Effectual-Causal View of Managerial Decisions in the Internationalization of Indian MNEs,"Dash, Rupanwita; Ranjan, Kumar Rakesh",2019,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2018.09.001,crossref_score=77,Dash_2019,,,,,,,,,,,,,3,,,,,,,,
373,Internationalization and failure risk patterns Evidence from young Estonian manufacturing exporters,"Lukason, Oliver; Vissak, Tiia",2019,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,crossref_no_match,Lukason_2019,,,,,,,,,,,,,3,,,,,,,,
374,Gains from multinational competition for cross-border firm acquisition,"Koska, Onur A.",2019,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,10.5018/economics-ejournal.ja.2019-20,crossref_score=79,Koska_2019,,,,,,,,,,,,,3,,,,,,,,
375,MODELLING INTERNATIONALIZATION OF HIGH GROWTH FIRMS: MICRO LEVEL APPROACH,"Korsakiene, Renata; Kozak, Vratislav; Bekesiene, Svajone; Smaliukiene, Rasa",2019,E & M EKONOMIE A MANAGEMENT,,crossref_no_match,Korsakiene_2019,,,,,,,,,,,,,3,,,,,,,,
376,Adapting and sustaining operations in weak institutional environments: A business ecosystem assessment of a Chinese MNE in Central Africa,"Parente, Ronaldo; Rong, Ke; Geleilate, Jose-Mauricio G.; Misati, Everlyne",2019,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-018-0179-z,crossref_score=84,Parente_2019,,,,,,,,,,,,,3,,,,,,,,
377,Effects of prior market experiences and firm-specific resources on developed economy SMEs' export exit from emerging markets: Complementary or compensatory?,"Sandberg, Susanne; Sui, Sui; Baum, Matthias",2019,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.10.014,crossref_score=99,Sandberg_2019,,,,,,,,,,,,,3,,,,,,,,
378,The role of international institutional complexity on emerging market multinational companies' innovation,"Wu, Jie; Park, Seung Ho",2019,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1166,crossref_score=64,Wu_2019,,,,,,,,,,,,,3,,,,,,,,
379,Shareholder wealth effects of cultural diversity among blockholders: Evidence from cross-border acquisitions by US-listed companies,"Chen, Victor Zitian",2019,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,10.1111/corg.12273,crossref_score=88,Chen_2019,,,,,,,,,,,,,3,,,,,,,,
380,Antecedents of strategic ambidexterity in the context of internationalisation: a panel study of Taiwan Small and median-sized enterprises,"Tsai, Huei-Ting; Ren, Shengce",2019,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2019.1582764,crossref_score=81,Tsai_2019,,,,,,,,,,,,,3,,,,,,,,
381,Firm-specific assets and the internationalization performance relationship in the US movie studio industry,"Tashman, Peter; Marano, Valentina; Babin, Jessica",2019,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2019.03.003,crossref_score=75,Tashman_2019,,,,,,,,,,,,,3,,,,,,,,
382,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,"Cui, Lin; Xu, Ying",2019,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2019.04.002,crossref_score=94,Cui_2019,,,,,,,,,,,,,3,,,,,,,,
383,Cross-border acquisitions and family businesses,"Ossorio, Mario",2019,EUROMED JOURNAL OF BUSINESS,10.1108/emjb-05-2018-0033,crossref_score=64,Ossorio_2019,,,,,,,,,,,,,3,,,,,,,,
384,Effect of Marketing Strategies on Export Performance of Agricultural Products: The Case of Saffron in Iran,"Kashefi, M.; Mohammadi, H.; Abolhasani, L.",2019,JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,,crossref_no_match,Kashefi_2019,,,,,,,,,,,,,3,,,,,,,,
385,"Knowledge Transfer from Multinationals through Labour Mobility: Are There Effects on Productivity, Product Sophistication and Exporting?","Masso, Jaan; Vahter, Priit",2019,EMERGING MARKETS FINANCE AND TRADE,10.1080/1540496x.2018.1530653,crossref_score=87,Masso_2019,,,,,,,,,,,,,3,,,,,,,,
386,Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison between advanced and emerging market overseas investments in the EU,"Pittiglio, Rosanna; Reganati, Filippo",2019,WORLD ECONOMY,10.1111/twec.12837,crossref_score=109,Pittiglio_2019,,,,,,,,,,,,,3,,,,,,,,
387,Do Export Learning Processes Affect Sales Growth in Exporting Activities?,"Assadinia, Shahin; Boso, Nathaniel; Hultman, Magnus; Robson, Matthew",2019,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x19848425,crossref_score=79,Assadinia_2019,,,,,,,,,,,,,3,,,,,,,,
388,"R&D internationalization, product diversification and international performance for emerging market enterprises: An empirical study on Chinese enterprises","Tang, Chunhui; Tang, Yaojia; Su, Shengwei",2019,EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2018.11.003,crossref_score=75,Tang_2019,,,,,,,,,,,,,3,,,,,,,,
389,The Relative Effects of Entrepreneurial Characteristics and Government Support on the Internationalisation and Performance of Malaysian SMEs,"Idris, Aida; Saad, Mohd Najib",2019,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v13i1.10757,crossref_score=68,Idris_2019,,,,,,,,,,,,,3,,,,,,,,
390,Take your time: Examining when green innovation affects financial performance in multinationals,"Rezende, Ligia de Azevedo; Bansi, Ana Claudia; Rodrigues Alves, Marlon Fernandes; Ribeiro Galina, Simone Vasconcelos",2019,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.06.135,crossref_score=80,Rezende_2019,,,,,,,,,,,,,3,,,,,,,,
391,African Business Groups: How Does Group Affiliation Improve SMEs' Export Intensity?,"Tajeddin, Mahdi; Carney, Michael",2019,ENTREPRENEURSHIP THEORY AND PRACTICE,10.1177/1042258718779586,crossref_score=93,Tajeddin_2019,,,,,,,,,,,,,3,,,,,,,,
392,"Internationalization, Strategic Slack Resources, and Firm Performance: The Case Study of Vietnamese Enterprises","Nguyen, Phuong, V; Hien Thi Ngoc Huynh; Hoa Doan Xuan Trieu; Tran, Khoa T.",2019,JOURNAL OF RISK AND FINANCIAL MANAGEMENT,10.3390/jrfm12030144,crossref_score=71,Nguyen_2019,,,,,,,,,,,,,3,,,,,,,,
393,Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors and panel attrition,"Ferrante, Maria R.; Freo, Marzia",2019,WORLD ECONOMY,10.1111/twec.12807,crossref_score=88,Ferrante_2019,,,,,,,,,,,,,3,,,,,,,,
394,Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,"Lee, Sunhae; Park, Sae Woon; Namgung, Dam",2019,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.4.30,crossref_score=78,Lee_2019,,,,,,,,,,,,,3,,,,,,,,
395,Effectiveness of Export Support Programs: Impact on the Relational Capital and International Performance of Early Internationalizing Small Businesses,"Catanzaro, Alexis; Messeghem, Karim; Sammut, Sylvie",2019,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1111/jsbm.12489,crossref_score=84,Catanzaro_2019,,,,,,,,,,,,,3,,,,,,,,
396,The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,"Genc, Ebru; Dayan, Mumin; Genc, Omer Faruk",2019,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.01.008,crossref_score=71,Genc_2019,,,,,,,,,,,,,3,,,,,,,,
397,Internationalization and hotel performance: Agglomeration-related moderators,"Woo, Linda; Assaf, A. George; Josiassen, Alexander; Kock, Florian",2019,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2019.03.007,crossref_score=62,Woo_2019,,,,,,,,,,,,,3,,,,,,,,
398,Does persistence in internationalization and innovation influence firms' performance?,"Iandolo, Stefano; Ferragina, Anna Maria",2019,JOURNAL OF ECONOMIC STUDIES,10.1108/jes-04-2019-0152,crossref_score=66,Iandolo_2019,,,,,,,,,,,,,3,,,,,,,,
399,R&D offshoring and home industry productivity,"de Rassenfosse, Gaetan; Thomson, Russell",2019,INDUSTRIAL AND CORPORATE CHANGE,,crossref_no_match,Rassenfosse_2019,,,,,,,,,,,,,3,,,,,,,,
400,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,Quy Thi Vo,2019,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/jafeb.2019.vol6.no4.37,crossref_score=101,Vo_2019,,,,,,,,,,,,,3,,,,,,,,
401,"Product Newness, Low Competition, Recent Technology, and Export Orientation as Predictors for Entrepreneurial Growth Aspirations","Pedro Carreon-Gutierrez, Jose; Manuel Saiz-Alvarez, Jose",2019,SUSTAINABILITY,10.3390/su11205818,crossref_score=84,CarreonGutierrez_2019,,,,,,,,,,,,,3,,,,,,,,
402,Founder non-international experience and venture internationalization,"Domurath, Anne; Patzelt, Holger",2019,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-019-00249-0,crossref_score=70,Domurath_2019,,,,,,,,,,,,,3,,,,,,,,
403,Does Efficient Social-Network Structure Benefit the Performance of Business Groups and Core Firms? The Underlying Mediation Mechanism for Small World Network Structure and Internationalization in Cross-Level Business Group Network,"Chen, Ying-Yu",2019,NTU MANAGEMENT REVIEW,,crossref_no_match,Chen_2019,,,,,,,,,,,,,3,,,,,,,,
404,"From domestic to exporter, what happens? Evidence for Spanish manufacturing firms","Serrano, Javier; Myro, Rafael",2019,STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,10.1016/j.strueco.2019.01.005,crossref_score=75,Serrano_2019,,,,,,,,,,,,,3,,,,,,,,
405,How internationalization affects firms' growth in the MENA region? A quantile regression approach,"Ben Slimane, Mehdi; Baghdadi, Leila",2019,ECONOMICS BULLETIN,,crossref_no_match,Slimane_2019,,,,,,,,,,,,,3,,,,,,,,
406,The Effects of International Entrepreneurial Orientation and Entrepreneurial Activities on SMEs' Export Performance,"Yoo, Sung-Joon; Kim, Hag-Min; Lee, Yea-Rim",2019,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.7.156,crossref_score=70,Yoo_2019,,,,,,,,,,,,,3,,,,,,,,
407,'Misfits' DO try to fit: Deviations from firm-specific optimal multinationality and subsequent market entry or exit in US law firms,"Powell, K. Skylar; Lim, Eunah",2018,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2017.09.023,crossref_score=107,Powell_2018,,,,,,,,,,,,,3,,,,,,,,
408,Inward FDI and Skilled Labour Force in Veneto Industrial Districts,"Barzotto, Mariachiara; Mariotti, Ilaria",2018,AGGLOMERATION AND FIRM PERFORMANCE,10.1007/978-3-319-90575-4_5,crossref_score=91,Barzotto_2018,,,,,,,,,,,,,3,,,,,,,,
409,"Innovation, environmental commitment, internationalization and sustainability: A survival analysis of Spanish marine aquaculture firms","Cordon Lagares, Encarnacion; Garcia Ordaz, Felix; Garcia del Hoyo, Juan Jose",2018,OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2017.10.024,crossref_score=80,Lagares_2018,,,,,,,,,,,,,3,,,,,,,,
410,The great trade collapse and the Spanish export miracle: Firm-level evidence from the crisis,"Eppinger, Peter S.; Meythaler, Nicole; Sindlinger, Marc-Manuel; Smolka, Marcel",2018,WORLD ECONOMY,10.1111/twec.12530,crossref_score=79,Eppinger_2018,,,,,,,,,,,,,3,,,,,,,,
411,"CAPITAL STRUCTURE DETERMINANTS INSIDE MULTINATIONAL AND DOMESTIC COMPANIES, EVIDENCE FROM IRAN","Fatemian, Farhad; Rezaei, Farzin",2018,HUMANIDADES & INOVACAO,,crossref_title_mismatch,Fatemian_2018,,,,,,,,,,,,,3,,,,,,,,
412,"Exploring the Relationship Between Internationalization Stage, Innovation, and Performance: The Case of Spanish Companies","Freixanet, Joan; Churakova, Iya",2018,INTERNATIONAL JOURNAL OF BUSINESS,,crossref_no_match,Freixanet_2018,,,,,,,,,,,,,3,,,,,,,,
413,Effects of the use of competitiveness as a strategy on exporting companies: Status of the issue,"Valero Cordoba, Gladys Mireya; Rodenes, Manuel; Elena Rueda, Gladys",2018,EQUIDAD & DESARROLLO,,crossref_no_match,Cordoba_2018,,,,,,,,,,,,,3,,,,,,,,
414,"Exporting, access of foreign technology, and firms' performance: Searching the link in Indian manufacturing","Sharma, Chandan",2018,QUARTERLY REVIEW OF ECONOMICS AND FINANCE,10.1016/j.qref.2017.11.015,crossref_score=72,Sharma_2018,,,,,,,,,,,,,3,,,,,,,,
415,Internationalization and performance: the role of depth and breadth,"Velez-Calle, Andres; Sanchez-Henriquez, Fernando; Contractor, Farok",2018,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,,crossref_no_match,VelezCalle_2018,,,,,,,,,,,,,3,,,,,,,,
416,Firm Size and Performance with special reference to Multinational Pharmaceutical Firms,"Sophia, S. Felix; Gayathri, J.",2018,PACIFIC BUSINESS REVIEW INTERNATIONAL,,crossref_no_match,Sophia_2018,,,,,,,,,,,,,3,,,,,,,,
417,"Process and product innovations, multi-product status and export performance: firm-level evidence from V-4 countries","Cieslik, Andrzej; Michalek, Jan Jakub",2018,EQUILIBRIUM-QUARTERLY JOURNAL OF ECONOMICS AND ECONOMIC POLICY,,crossref_no_match,Cieslik_2018,,,,,,,,,,,,,3,,,,,,,,
418,"Manufacturing exports, profitability and working capital","Habib, Ashfaq; Huang, Xiaoxia",2018,HUMAN SYSTEMS MANAGEMENT,,crossref_no_match,Habib_2018,,,,,,,,,,,,,3,,,,,,,,
419,"Labor market imperfections, markups and productivity in multinationals and exporters","Dobbelaere, Sabien; Kiyota, Kozo",2018,LABOUR ECONOMICS,10.1016/j.labeco.2018.05.004,crossref_score=84,Dobbelaere_2018,,,,,,,,,,,,,3,,,,,,,,
420,"The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms","Lee, Seung Hyun; Leem, Choon Seong; Bae, Dae Jung",2018,INFORMATION TECHNOLOGY & MANAGEMENT,10.1007/s10799-018-0287-2,crossref_score=91,Lee_2018,,,,,,,,,,,,,3,,,,,,,,
421,"Firm Performance among Internationalized SMEs: The Interplay of Market Orientation, Marketing Capability and Digitalization","Joensuu-Salo, Sanna; Sorama, Kirsti; Viljamaa, Anmari; Varamaeki, Elina",2018,ADMINISTRATIVE SCIENCES,10.3390/admsci8030031,crossref_score=97,JoensuuSalo_2018,,,,,,,,,,,,,3,,,,,,,,
422,"Foreign currency borrowing, exports and firm performance: evidence from a currency crisis","Bougheas, Spiros; Lim, Hosung; Mateut, Simona; Mizen, Paul; Yalcin, Cihan",2018,EUROPEAN JOURNAL OF FINANCE,10.1080/1351847x.2017.1421246,crossref_score=90,Bougheas_2018,,,,,,,,,,,,,3,,,,,,,,
423,A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,"Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas",2018,FOREST POLICY AND ECONOMICS,10.1016/j.forpol.2018.09.013,crossref_score=87,Hosseini_2018,,,,,,,,,,,,,3,,,,,,,,
424,FIRM HETEROGENEITY AND EXPORT ACTIVITY OF EUROPEAN FIRMS: A QUANTILE ANALYSIS,"Orts, Vicente; Marti, Josep",2018,REVISTA DE ECONOMIA MUNDIAL,10.33776/rem.v0i49.3893,crossref_score=70,Orts_2018,,,,,,,,,,,,,3,,,,,,,,
425,THE ORGANIZATION OF KNOWLEDGE IN MULTINATIONAL FIRMS,"Gumpert, Anna",2018,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,,crossref_no_match,Gumpert_2018,,,,,,,,,,,,,3,,,,,,,,
426,From intangible resources to export performance: Exploring the mediating effect of absorptive capabilities and innovation,"Rua, Orlando Lima",2018,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,crossref_title_mismatch,Rua_2018,,,,,,,,,,,,,3,,,,,,,,
427,Disentangling the effects of post-entry speed of internationalisation on export performance of INVs,"Sadeghi, Arash; Rose, Elizabeth L.; Chetty, Sylvie",2018,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242618775169,crossref_score=74,Sadeghi_2018,,,,,,,,,,,,,3,,,,,,,,
428,Credit constraints and firm market entry decision: Firm-level evidence from internationalizing Chinese multinationals,"Qi, Jianhong; Zhang, Zhaoyong; Liu, Hui",2018,NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,10.1016/j.najef.2018.04.012,crossref_score=96,Qi_2018,,,,,,,,,,,,,3,,,,,,,,
429,"Location choice, ownership structure and multinational performance","Gu, Jinlong; Yang, Yong; Strange, Roger",2018,MULTINATIONAL BUSINESS REVIEW,,crossref_no_match,Gu_2018,,,,,,,,,,,,,3,,,,,,,,
430,Internationalization and corporate social responsibility in the restaurant industry: risk perspective,"Jung, Soyeon; Kim, Joon Ho; Kang, Kyung Ho; Kim, Bora",2018,JOURNAL OF SUSTAINABLE TOURISM,10.1080/09669582.2017.1421201,crossref_score=61,Jung_2018,,,,,,,,,,,,,3,,,,,,,,
431,The Impact of Managers' Global Orientation on SME Export and Economic Performance,"Freixanet, Joan; Renart, Gemma; Rialp-Criado, Alex",2018,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-018-0358-y,crossref_score=67,Freixanet_2018,,,,,,,,,,,,,3,,,,,,,,
432,BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOMESTIC-OWNED FIRMS - A CASE OF SLOVAKIA,"Rajnoha, Rastislav; Merkova, Martina; Dobrovic, Jan; Rozsa, Zoltan",2018,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/jbem.2018.1538,crossref_score=86,Rajnoha_2018,,,,,,,,,,,,,3,,,,,,,,
433,"Internationalisation, innovation and productivity in services: evidence from Germany, Ireland and the United Kingdom","Peters, Bettina; Riley, Rebecca; Siedschlag, Iulia; Vahter, Priit; McQuinn, John",2018,REVIEW OF WORLD ECONOMICS,10.1007/s10290-018-0313-9,crossref_score=68,Peters_2018,,,,,,,,,,,,,3,,,,,,,,
434,How firm internationalization is recognized by outsiders: The response of financial analysts,"Luo, Xueming; Zheng, Qinqin",2018,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.04.030,crossref_score=70,Luo_2018,,,,,,,,,,,,,3,,,,,,,,
435,Financial Constraints and Small and Medium-Sized Firms' Export Propensity: Evidence from Portuguese Manufacturing Firms,"Forte, Rosa; Moreira, Ana Salome",2018,INTERNATIONAL JOURNAL OF THE ECONOMICS OF BUSINESS,10.1080/13571516.2018.1437011,crossref_score=96,Forte_2018,,,,,,,,,,,,,3,,,,,,,,
436,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",Long Quang Trinh; Ha Thi Thanh Doan,2018,JOURNAL OF ASIAN ECONOMICS,10.1016/j.asieco.2018.01.002,crossref_score=102,Trinh_2018,,,,,,,,,,,,,3,,,,,,,,
437,Key drivers of SMEs export performance: the mediating effect of competitive advantage,"Rua, Orlando; Franca, Alexandra; Fernandez Ortiz, Ruben",2018,JOURNAL OF KNOWLEDGE MANAGEMENT,10.1108/jkm-07-2017-0267,crossref_score=73,Rua_2018,,,,,,,,,,,,,3,,,,,,,,
438,Diffusion of internationalization in business group networks: evidence from India,"Shukla, Dhirendra Mani; Akbar, M.",2018,MANAGEMENT DECISION,,crossref_no_match,Shukla_2018,,,,,,,,,,,,,3,,,,,,,,
439,Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,"Jin, Byoungho; Jung, Sojin; Jeong, So Won",2018,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-017-0457-4,crossref_score=66,Jin_2018,,,,,,,,,,,,,3,,,,,,,,
440,Business group reputation and affiliates' internationalization strategies,"Mukherjee, Debmalya; Makarius, Erin E.; Stevens, Charles E.",2018,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2017.12.003,crossref_score=64,Mukherjee_2018,,,,,,,,,,,,,3,,,,,,,,
441,Innovation activities and learning processes in the crisis: evidence from Italian export in manufacturing and services,"Brancati, Raffaele; Marrocu, Emanuela; Romagnoli, Manuel; Usai, Stefano",2018,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtx022,crossref_score=69,Brancati_2018,,,,,,,,,,,,,3,,,,,,,,
442,"The internationalisation of Spanish family firms through business groups: Factors affecting the profitability, and the moderating effect of the family nature of the Spanish business","Carmen Perez-Lopez, M.; Elena Gomez-Miranda, M.; Argente-Linares, Eva; Lopez-Sanchez, Lina",2018,REVISTA DE CONTABILIDAD-SPANISH ACCOUNTING REVIEW,10.1016/j.rcsar.2017.09.002,crossref_score=92,PerezLopez_2018,,,,,,,,,,,,,3,,,,,,,,
443,Internationalization and economic performance: The mediating role of eco-innovation,"Hojnik, Jana; Ruzzier, Mitja; Manolova, Tatiana S.",2018,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2017.10.111,crossref_score=62,Hojnik_2018,,,,,,,,,,,,,3,,,,,,,,
444,Exports-performance relationship in Russian manufacturing companies Does foreign ownership play an enhancing role?,"Bykova, Anna; Lopez-Iturriaga, Felix",2018,BALTIC JOURNAL OF MANAGEMENT,,crossref_title_mismatch,Bykova_2018,,,,,,,,,,,,,3,,,,,,,,
445,Internationalization as a driver of the corporate social performance of extractive industry firms,"Symeou, Pavlos C.; Zyglidopoulos, Stelios; Williamson, Peter",2018,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2017.07.004,crossref_score=69,Symeou_2018,,,,,,,,,,,,,3,,,,,,,,
446,"Strategic goal accomplishment in export ventures: the role of capabilities, knowledge, and environment","Spyropoulou, Stavroula; Katsikeas, Constantine S.; Skarmeas, Dionysis; Morgan, Neil A.",2018,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,10.1007/s11747-017-0519-8,crossref_score=77,Spyropoulou_2018,,,,,,,,,,,,,3,,,,,,,,
447,Multinationals and sustainable development: Does internationalization develop corporate sustainability of emerging market multinationals?,"Park, Sang-Bum",2018,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.2209,crossref_score=92,Park_2018,,,,,,,,,,,,,3,,,,,,,,
448,Exploring the Strategic Motivation of Internationalisation: Indonesian Contractors' Perspectives,"Utama, Wahyudi; Chan, Albert; Zahoor, Hafiz; Gao, Ran; Peli, Martalius",2018,CONSTRUCTION ECONOMICS AND BUILDING,10.5130/ajceb.v18i4.5899,crossref_score=70,Utama_2018,,,,,,,,,,,,,3,,,,,,,,
449,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,"Hien Thi Ngoc Huynh; Nguyen, Phuong V.; Tran, Khoa T.",2018,ADMINISTRATIVE SCIENCES,10.3390/admsci8040064,crossref_score=98,Huynh_2018,,,,,,,,,,,,,3,,,,,,,,
450,Relationship between Corporate Social Responsibility (CSR) and Internationalisation Strategies: A Descriptive Study in the Spanish Context,"Godos-Diez, Jose-Luis; Cabeza-Garcia, Laura; Fernandez-Gonzalez, Cristina",2018,ADMINISTRATIVE SCIENCES,10.3390/admsci8040057,crossref_score=80,GodosDiez_2018,,,,,,,,,,,,,3,,,,,,,,
451,The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russia,"Ermolaeva, Liubov; Freixanet, Joan; Panibratov, Andrei",2018,JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,10.5771/0949-6181-2018-4-621,crossref_score=73,Ermolaeva_2018,,,,,,,,,,,,,3,,,,,,,,
452,SMEs Performance and Internationalization: A Traditional Industry Approach,"Madaleno, Mara; Varum, Celeste Amorim; Horta, Isabel",2018,ANNALS OF ECONOMICS AND FINANCE,,crossref_no_match,Madaleno_2018,,,,,,,,,,,,,3,,,,,,,,
453,Performance of business group affiliated firms in emerging markets Causal mediation analysis of internationalization and investment into innovation strategy,"Purkayastha, Anish",2018,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,crossref_title_mismatch,Purkayastha_2018,,,,,,,,,,,,,3,,,,,,,,
454,Transition in-and-out of exporting and its impact on employment growth,"Lafuente, Esteban; Vaillant, Yancy; Moreno-Gomez, Jorge",2018,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,crossref_no_match,Lafuente_2018,,,,,,,,,,,,,3,,,,,,,,
455,Improvement of Operational performance of Internationalized Companies through Collaboration in Distribution Networks,"Nikolchenko, Natalia; Zenkevich, Nikolay; Lebedeva, Anastasia",2018,JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2018.1467842,crossref_score=76,Nikolchenko_2018,,,,,,,,,,,,,3,,,,,,,,
456,Traces of foreign retailers - local knowledge-spillovers and strategy adaption within retail internationalization,"Gersch, Inka",2018,INTERNATIONAL REVIEW OF RETAIL DISTRIBUTION AND CONSUMER RESEARCH,10.1080/09593969.2018.1525756,crossref_score=100,Gersch_2018,,,,,,,,,,,,,3,,,,,,,,
457,Alphabet soup: the relationship between multinationality and firm performance,"Mullen, Cormac; Luff, Martha O'Hagan",2018,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2018.1556519,crossref_score=72,Mullen_2018,,,,,,,,,,,,,3,,,,,,,,
458,"Too Slow or Too Fast? Speed of FDI Expansions, Industry Globalization, and Firm Performance","Yang, Jing Yu; Lu, Jane; Jiang, Ruihua",2017,LONG RANGE PLANNING,10.1016/j.lrp.2016.06.001,crossref_score=86,Yang_2017,,,,,,,,,,,,,3,,,,,,,,
459,The Role of Cluster Presence and Quality Certification in Internationalization and Performance of Offshore Service Providers,"Upadhyayula, Rajesh S.; Dhandapani, Karthik; Karna, Amit",2017,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.11.004,crossref_score=71,Upadhyayula_2017,,,,,,,,,,,,,3,,,,,,,,
460,"Firm internationalization, business group diversification and firm performance: The case of Latin American firms","Borda, Armando; Geleilate, Jose-Mauricio G.; Newburry, William; Kundu, Sumit K.",2017,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2016.11.006,crossref_score=84,Borda_2017,,,,,,,,,,,,,3,,,,,,,,
461,Motivators of SME initial export choice and the European Union regional effect in manufacturing,"Stouraitis, Vassilios; Harun, Mior Harris Mior; Kyritsis, Markos",2017,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,10.1108/ijebr-05-2015-0120,crossref_score=81,Stouraitis_2017,,,,,,,,,,,,,3,,,,,,,,
462,"Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms","Qiu, Bin; Yan, Zhijun",2017,PACIFIC ECONOMIC REVIEW,10.1111/1468-0106.12206,crossref_score=69,Qiu_2017,,,,,,,,,,,,,3,,,,,,,,
