seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extraction_status,abstract,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
248,Medium,Y,,2021,"Merlevede, Bruno; Theodorakopoulos, Angelos",Productivity effects of internationalisation through the domestic supply chain,JOURNAL OF APPLIED ECONOMETRICS,10.1002/jae.2837,MX,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|export-productivity,,other,
249,Medium,Y,,2021,"Biener, Christian; Eling, Martin; Jia, Ruo",Globalisation: blessing or curse? Evidence from the insurance industry,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2021.113232,MX,,3,,,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:globalisation-blessing-curse→firm-performance,,,
250,Medium,Y,,2021,"Yang, Monica; Ai, Qi",The post-acquisition performance of cross-border mergers and acquisitions conducted by Chinese firms in the high-tech industries: Profitable or innovative?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22192,II,,3,,ACC,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:cross-border-M&A→post-acquisition-performance,2,,
251,Medium,Y,,2021,"Wu, Sihong; Fan, Di",Taking social responsibilities overseas? The learning paths and performance consequences of Chinese multinationals,JOURNAL OF GENERAL MANAGEMENT,10.1177/0306307020984566,MX,,3,,,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,2,other,
252,Medium,Y,,2020,"Kim, Heechun; Wu, Jie; Schuler, Douglas A.; Hoskisson, Robert E.","Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in another",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-019-00279-9,2,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|MNE|financial-perf,2,other,financial_perf
253,Medium,Y,,2020,"Wang, Ge; Zhang, Huijin; Xia, Bo; Wu, Guangdong; Han, Yilong",Relationship between Internationalization and Financial Performance: Evidence from ENR-Listed Chinese Firms,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000736,2,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|financial-perf,2,other,financial_perf
254,Medium,Y,,2020,"Vuorio, Anna; Torkkeli, Lasse; Sainio, Liisa-Maija",Service innovation and internationalization in SMEs: antecedents and profitability outcomes,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-019-00266-z,MX,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|financial-perf,,other,financial_perf
255,Medium,Y,,2020,"Hoxholli, Emi; Kercini, Donika",THE ACTUAL LEVEL OF INTERNATIONALIZATION OF ALBANIAN SMES AND THE MEASURE OF THEIR OVERALL PERFORMANCE,INTERNATIONAL JOURNAL OF ECOSYSTEMS AND ECOLOGY SCIENCE-IJEES,10.31407/ijees10.121,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
256,Medium,Y,,2020,"Gerschewski, Stephan; Evers, Natasha; Anh Tuan Nguyen; Froese, Fabian Jintae",Trade Shows and SME Internationalisation: Networking for Performance,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-020-00421-y,I,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
257,Medium,Y,,2020,"Yang, Yi; Yao, Congxu; Li, Ying",The impact of the amount of environmental information disclosure on financial performance: The moderating effect of corporate internationalization,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2010,MX,,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|financial-perf,,other,financial_perf
258,Medium,Y,,2020,"Jiang, Guohua; Kotabe, Masaaki; Zhang, Feng","Founder ethnic composition, early internationalization, and new venture performance",JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-020-00281-5,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
259,Medium,Y,,2020,"Crespo, Nuno Fernandes; Simoes, Vitor Corado; Fontes, Margarida",Competitive strategies and international new ventures' performance: Exploring the moderating effects of internationalization duration and preparation,BRQ-BUSINESS RESEARCH QUARTERLY,10.1177/2340944420916334,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
260,Medium,Y,,2020,"Opoku, Eric E. O.; Yan, Isabel K. M.; Hynes, Kate",Reaching up and reaching out: The impact of competition on firms' productivity and export decisions,PACIFIC ECONOMIC REVIEW,10.1111/1468-0106.12287,MX,,3,,LAB,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:export-productivity,,,
261,Medium,Y,,2020,"Zhao, Yue; Parente, Ronaldo; Song, Mohan; Wenger, Lucas",Host country institutional diversity and MNE performance persistence,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.03.018,MX,,3,,,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:institutional-diversity→MNE-performance,,,
262,Medium,Y,,2020,"Teresa Bolivar-Ramos, Maria; Capelleras, Joan-Lluis; Rialp-Criado, Alex; Rialp-Criado, Josep",The interplay between exports and technological collaborations: effects on SME growth,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/ijtm.2020.112156,MX,,3,,GROW,,,,AUTO-CODED FROM UNSURE-R5; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exports+collaborations→SME-growth,,,
263,Medium,Y,,2019,"Jain, Naveen Kumar; Celo, Sokol; Kumar, Vikas","Internationalization speed, resources and performance: Evidence from Indian software industry",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.09.019,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
264,Medium,Y,,2019,"Rossmannek, Oliver; Rank, Olaf",Internationalization of exploitation alliance portfolios and firm performance,MANAGEMENT DECISION,10.1108/md-11-2017-1105,MX,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,,other,firm_performance
265,Medium,Y,,2019,"Tashman, Peter; Marano, Valentina; Babin, Jessica",Firm-specific assets and the internationalization performance relationship in the US movie studio industry,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2019.03.003,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,1,other,
266,Medium,Y,,2019,"Cui, Lin; Xu, Ying",Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2019.04.002,2,,3,FDI,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|FDI|financial-perf,2,FDI,financial_perf
267,Medium,Y,,2019,"Pittiglio, Rosanna; Reganati, Filippo",Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison between advanced and emerging market overseas investments in the EU,WORLD ECONOMY,10.1111/twec.12837,2,,3,FDI,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:FDI,2,FDI,
268,Medium,Y,,2019,"Tang, Chunhui; Tang, Yaojia; Su, Shengwei","R&D internationalization, product diversification and international performance for emerging market enterprises: An empirical study on Chinese enterprises",EUROPEAN MANAGEMENT JOURNAL,10.1016/j.emj.2018.11.003,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
269,Medium,Y,,2019,"Idris, Aida; Saad, Mohd Najib",The Relative Effects of Entrepreneurial Characteristics and Government Support on the Internationalisation and Performance of Malaysian SMEs,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v13i1.10757,2,H,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
270,Medium,Y,,2019,"Lee, Sunhae; Park, Sae Woon; Namgung, Dam",Internationalization and Performance of SMEs in Masan Free Trade Zone (Korea): The Direct and Moderating Effects of Firm Size,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.4.30,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,1,other,
271,Medium,Y,,2019,"Catanzaro, Alexis; Messeghem, Karim; Sammut, Sylvie",Effectiveness of Export Support Programs: Impact on the Relational Capital and International Performance of Early Internationalizing Small Businesses,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1111/jsbm.12489,MX,,3,EXP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Exporting / export activity,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
272,Medium,Y,,2019,"Woo, Linda; Assaf, A. George; Josiassen, Alexander; Kock, Florian",Internationalization and hotel performance: Agglomeration-related moderators,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2019.03.007,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
273,Medium,Y,,2019,"Iandolo, Stefano; Ferragina, Anna Maria",Does persistence in internationalization and innovation influence firms' performance?,JOURNAL OF ECONOMIC STUDIES,10.1108/jes-04-2019-0152,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
274,Medium,Y,,2019,"Chen, Victor Zitian",Shareholder wealth effects of cultural diversity among blockholders: Evidence from cross-border acquisitions by US-listed companies,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,10.1111/corg.12273,,,3,,,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:cross-border-acquisitions→shareholder-wealth,1,,
275,Medium,Y,,2019,"Serrano, Javier; Myro, Rafael","From domestic to exporter, what happens? Evidence for Spanish manufacturing firms",STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,10.1016/j.strueco.2019.01.005,I,,3,,,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:domestic-to-exporter→productivity-outcomes,,,
276,Medium,Y,,2018,"Barzotto, Mariachiara; Mariotti, Ilaria",Inward FDI and Skilled Labour Force in Veneto Industrial Districts,AGGLOMERATION AND FIRM PERFORMANCE,10.1007/978-3-319-90575-4_5,I,,3,FDI,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:FDI|firm-performance,,FDI,firm_performance
277,Medium,Y,,2018,"Lee, Seung Hyun; Leem, Choon Seong; Bae, Dae Jung","The impact of technology capability, human resources, internationalization, market resources, and customer satisfaction on annual sales growth rates of Korean software firms",INFORMATION TECHNOLOGY & MANAGEMENT,10.1007/s10799-018-0287-2,1,L,3,other,sales_growth,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|sales-growth,1,other,sales_growth
278,Medium,Y,,2018,"Joensuu-Salo, Sanna; Sorama, Kirsti; Viljamaa, Anmari; Varamaeki, Elina","Firm Performance among Internationalized SMEs: The Interplay of Market Orientation, Marketing Capability and Digitalization",ADMINISTRATIVE SCIENCES,10.3390/admsci8030031,MX,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,,other,firm_performance
279,Medium,Y,,2018,"Hosseini, Mojtaba; Brege, Staffan; Nord, Tomas",A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,FOREST POLICY AND ECONOMICS,10.1016/j.forpol.2018.09.013,1,M,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:sweden,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
280,Medium,Y,,2018,"Sadeghi, Arash; Rose, Elizabeth L.; Chetty, Sylvie",Disentangling the effects of post-entry speed of internationalisation on export performance of INVs,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242618775169,I,,3,EXP,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Export performance / export outcome,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:antecedent-framing-export-perf,,other,
281,Medium,Y,,2018,"Peters, Bettina; Riley, Rebecca; Siedschlag, Iulia; Vahter, Priit; McQuinn, John","Internationalisation, innovation and productivity in services: evidence from Germany, Ireland and the United Kingdom",REVIEW OF WORLD ECONOMICS,10.1007/s10290-018-0313-9,1,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|export-productivity,1,other,
282,Medium,Y,,2018,"Jin, Byoungho; Jung, Sojin; Jeong, So Won",Dimensional effects of Korean SME's entrepreneurial orientation on internationalization and performance: the mediating role of marketing capability,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-017-0457-4,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,1,other,
283,Medium,Y,,2018,"Carmen Perez-Lopez, M.; Elena Gomez-Miranda, M.; Argente-Linares, Eva; Lopez-Sanchez, Lina","The internationalisation of Spanish family firms through business groups: Factors affecting the profitability, and the moderating effect of the family nature of the Spanish business",REVISTA DE CONTABILIDAD-SPANISH ACCOUNTING REVIEW,10.1016/j.rcsar.2017.09.002,1,L,3,other,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|financial-perf,,other,financial_perf
284,Medium,Y,,2018,"Hojnik, Jana; Ruzzier, Mitja; Manolova, Tatiana S.",Internationalization and economic performance: The mediating role of eco-innovation,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2017.10.111,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
285,Medium,Y,,2018,"Symeou, Pavlos C.; Zyglidopoulos, Stelios; Williamson, Peter",Internationalization as a driver of the corporate social performance of extractive industry firms,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2017.07.004,I,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
286,Medium,Y,,2018,"Hien Thi Ngoc Huynh; Nguyen, Phuong V.; Tran, Khoa T.",Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,ADMINISTRATIVE SCIENCES,10.3390/admsci8040064,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
287,Medium,Y,,2018,"Nikolchenko, Natalia; Zenkevich, Nikolay; Lebedeva, Anastasia",Improvement of Operational performance of Internationalized Companies through Collaboration in Distribution Networks,JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2018.1467842,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
288,Medium,Y,,2018,"Dobbelaere, Sabien; Kiyota, Kozo","Labor market imperfections, markups and productivity in multinationals and exporters",LABOUR ECONOMICS,10.1016/j.labeco.2018.05.004,MX,,3,,LAB,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|export-productivity,,other,
289,Medium,Y,,2018,"Cordon Lagares, Encarnacion; Garcia Ordaz, Felix; Garcia del Hoyo, Juan Jose","Innovation, environmental commitment, internationalization and sustainability: A survival analysis of Spanish marine aquaculture firms",OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2017.10.024,I,,3,,SURV,,,,AUTO-CODED FROM UNSURE-R3; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
290,Medium,Y,,2018,"Powell, K. Skylar; Lim, Eunah",'Misfits' DO try to fit: Deviations from firm-specific optimal multinationality and subsequent market entry or exit in US law firms,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2017.09.023,MX,,3,,,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,1,other,
291,Medium,Y,,2017,"Yang, Jing Yu; Lu, Jane; Jiang, Ruihua","Too Slow or Too Fast? Speed of FDI Expansions, Industry Globalization, and Firm Performance",LONG RANGE PLANNING,10.1016/j.lrp.2016.06.001,MX,,3,FDI,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:FDI|firm-performance,,FDI,firm_performance
292,Medium,Y,,2017,"Upadhyayula, Rajesh S.; Dhandapani, Karthik; Karna, Amit",The Role of Cluster Presence and Quality Certification in Internationalization and Performance of Offshore Service Providers,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.11.004,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
293,Medium,Y,,2017,"Borda, Armando; Geleilate, Jose-Mauricio G.; Newburry, William; Kundu, Sumit K.","Firm internationalization, business group diversification and firm performance: The case of Latin American firms",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2016.11.006,1,,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,1,other,firm_performance
294,Medium,Y,,2017,"Popli, Manish; Akbar, Mohammad; Kumar, Vikas; Gaur, Ajai",Performance Impact of Temporal Strategic Fit: Entrainment of Internationalization with Pro-Market Reforms,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1160,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
295,Medium,Y,,2017,"Xu, Xin; Xia, Yun; Li, Chuntao",lInfluence of Chinese entrepreneurial companies' internationalization on independent innovation: Input incentive effect and efficiency improvement effect,CHINA JOURNAL OF ACCOUNTING RESEARCH,10.1016/j.cjar.2017.05.001,2,L,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
296,Medium,Y,,2017,"Cui, Lin; Fan, Di; Liu, Xiaohui; Li, Yi",Where to Seek Strategic Assets for Competitive Catch-up? A configurational study of emerging multinational enterprises expanding into foreign strategic factor markets,ORGANIZATION STUDIES,10.1177/0170840616670441,MX,,3,,,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
297,Medium,Y,,2016,"de Jorge Moreno, Justo; Rojas Carrasco, Oscar","Efficiency, internationalization and market positioning in textiles fast fashion The Inditex case",INTERNATIONAL JOURNAL OF RETAIL & DISTRIBUTION MANAGEMENT,10.1108/ijrdm-04-2015-0064,MX,,3,other,Efficiency,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
298,Medium,Y,,2016,"Brida, Juan Gabriel; Ramon-Rodriguez, Ana B.; Jesus Such-Devesa, Maria; Driha, Oana",The inverted-U relationship between the degree of internationalization and the performance: The case of Spanish hotel chains,TOURISM MANAGEMENT PERSPECTIVES,10.1016/j.tmp.2015.12.016,1,L,3,DOI,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:spain,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|DOI,,DOI,
299,Medium,Y,,2016,"Wu, Jie; Wang, Chengqi; Hong, Junjie; Piperopoulos, Panagiotis; Zhuo, Shuaihe",Internationalization and innovation performance of emerging market enterprises: The role of host-country institutional development,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.09.002,2,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
300,Medium,Y,,2016,"Miller, Stewart R.; Lavie, Dovev; Delios, Andrew","International intensity, diversity, and distance: Unpacking the internationalization-performance relationship",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2015.12.003,I,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
301,Medium,Y,,2016,"Chin, Tachia; Tsai, Sang-Bing; Fang, Kai; Zhu, Wenzhong; Yang, Dongjin; Liu, Ren-huai; Tsuei, Richard Ting Chang",EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,PLOS ONE,10.1371/journal.pone.0162175,2,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
302,Medium,Y,,2016,"Jung, SoYeon; Lee, Seoki; Dalbor, Michael",The negative synergistic effect of internationalization and corporate social responsibility on US restaurant firms' value performance,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,10.1108/ijchm-07-2014-0361,1,L,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,1,other,
303,Medium,Y,,2016,"Zhao, Hongxin (John); Ma, Jieqiong (Jeccy)","Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterprises",JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2016.1215667,2,L,3,other,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|firm-performance,2,other,firm_performance
304,Medium,Y,,2016,"Onkelinx, Jonas; Manolova, Tatiana S.; Edelman, Linda F.","The human factor: Investments in employee human capital, productivity, and SME internationalization",JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.05.002,MX,,3,other,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|export-productivity,,other,
305,Medium,Y,,2016,"Neves, Alexandre; Teixeira, Aurora A. C.; Silva, Sandra T.",Exports-R&D investment complementarity and economic performance of firms located in Portugal,INVESTIGACION ECONOMICA,10.1016/j.inveco.2016.03.004,I,,3,,,NR,NR,,AUTO-CODED FROM UNSURE-R2; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exports+R&D→economic-performance,,,
306,Medium,Y,,2016,"Marcone, Maria Rosaria",Multilocalisation and the Growth of Knowledge Assets in Medium-Sized Multinationals (MSMs),JOURNAL OF THE KNOWLEDGE ECONOMY,10.1007/s13132-015-0256-5,MX,,3,,GROW,,,,AUTO-CODED FROM UNSURE-R4; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
307,Medium,Y,,2015,"Kunttu, Anna; Torkkeli, Lasse",Service innovation and internationalization in SMEs: Implications for growth and performance,MANAGEMENT REVUE,10.5771/0935-9915-2015-2-83,MX,,3,other,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
