STT,seq,year,authors,title,journal,link,ICRV,DPL,r_bao_cao,loai_r,n_mau,r_doi_chieu,phi_tuyen,turning_point,ghi_chu
220,1675,2021,"Prada, Pablo Garrido; Delgado Rodriguez, Maria Jes",Testing critical levels in product and geographic diversification: a structural threshold approach,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1504/ejim.2021.117522,1,3,,,,,,,
221,1679,2021,"Haddoud, Mohamed Yacine; Onjewu, Adah-Kole Emmanue",Environmental commitment and innovation as catalysts for export performance in family firms,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,https://doi.org/10.1016/j.techfore.2021.121085,?,3,,,,,,,
222,1709,2021,"Shin, Joon-Ho; Kim, Chang-Bong",Degree of Internationalization and Performance of High-tech Small and Medium-sized Enterprises: Evidence from Korea,JOURNAL OF KOREA TRADE,https://doi.org/10.35611/jkt.2021.25.7.1,1,3,,,,,,,
223,1724,2021,"Fonfara, Krzysztof; Hauke-Lopes, Aleksandra; Sonie",Does Psychic Distance Still Matter? Empirical Evidence from Poland,CENTRAL EUROPEAN MANAGEMENT JOURNAL,https://doi.org/10.7206/cemj.2658-0845.59,2,3,,,,,,,
224,2344,2021,Gonçalves T.,Commitment to exporting as an antecedent of organizational skills and firm performance,Journal of Business Economics,https://doi.org/10.1007/s11573-021-01028-x,?,3,,,,,,,
225,2347,2021,Williams D.W.,Unpacking the age at initial internationalization-performance relationship: A meta-analytic investigation,Journal of Business Venturing Insights,https://doi.org/10.1016/j.jbvi.2020.e00210,?,3,,,,,,,
226,2349,2021,Dikova D.,Performance Effects of Internationalization: Contingency Theory Analysis of Russian Internationalized Firms,Management and Organization Review,https://doi.org/10.1017/mor.2020.39,2,3,,,,,,,
227,2350,2021,Rienda L.,The role of family firms' heterogeneity on the internationalisation and performance relationship,European Journal of Family Business,https://doi.org/10.24310/ejfbejfb.v11i2.10591,?,3,,,,,,,
228,2353,2021,Spuldaro J.D.,The effect of innovation on the financial performance and export intensity of firms in emerging countries,International Journal of Business Innovation and R,https://doi.org/10.1504/ijbir.2021.116382,?,3,,,,,,,
229,2355,2021,Saria D.W.,Global Trading of Electronic Component in Indonesia Manufacturing Industry,Review of International Geographical Education Onl,https://doi.org/10.33403/rigeo.800652,3,3,,,,,,,
230,252,2020,"Kim, Heechun; Wu, Jie; Schuler, Douglas A.; Hoskis","Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in another",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,https://doi.org/10.1057/s41267-019-00279-9,2,3,,,,,,,
231,253,2020,"Wang, Ge; Zhang, Huijin; Xia, Bo; Wu, Guangdong; H",Relationship between Internationalization and Financial Performance: Evidence from ENR-Listed Chinese Firms,JOURNAL OF MANAGEMENT IN ENGINEERING,https://doi.org/10.1061/(asce)me.1943-5479.0000736,2,3,,,,,,,
232,475,2020,"Yu, Ying; Hu, Xiaoling; Wang, Yong; Ward, Philippa",A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,SUSTAINABILITY,https://doi.org/10.3390/su12145508,2,3,,,,,,,
233,476,2020,"Revindo, Mohamad Dian; Gan, Christopher; Alta, Adi",Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,https://doi.org/10.21002/seam.v14i2.11771,2,3,,,,,,,
234,474,2020,"Campos-Garcia, Irene; Munoz-Bullon, Fernando; Sanc",Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,JOURNAL OF BUSINESS RESEARCH,https://doi.org/10.1016/j.jbusres.2019.10.074,?,3,,,,,,,
235,1402,2020,"Liu Haiyue; Manzoor, Aqsa",The impact of OFDI on the performance of Chinese firms along the 'Belt and Road',APPLIED ECONOMICS,https://doi.org/10.1080/00036846.2019.1659501,2,3,,,,,,,
236,1403,2020,"Okafor, Luke Emeka; Bhattacharya, Mita; Apergis, N","Bank credit, public financial incentives, tax financial incentives and export performance during the global financial crisis",WORLD ECONOMY,https://doi.org/10.1111/twec.12848,?,3,,,,,,,
237,1433,2020,"Manez Castillejo, Juan A.; Minguez Bosque, Consuel","Trading activities, productivity and markups: Evidence for Spanish manufacturing",WORLD ECONOMY,https://doi.org/10.1111/twec.12892,1,3,,,,,,,
238,1446,2020,"Likitwongkajon, Napaporn; Vithessonthi, Chaiporn",Do foreign investments increase firm value and firm performance? Evidence from Japan,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,https://doi.org/10.1016/j.ribaf.2019.101099,1,3,,,,,,,
239,1454,2020,"Tsai, Hueiting; Ren, Shengce; Eisingerich, Andreas",The effect of inter- and intra-regional geographic diversification strategies on firm performance in China,MANAGEMENT DECISION,https://doi.org/10.1108/md-01-2018-0104,1,3,,,,,,,
240,1462,2020,"Tang, GuoXiang; Park, Kwangtae; Agarwal, Anurag; L","Impact of Innovation Culture, Organization Size and Technological Capability on the Performance of SMEs: The Case of China",SUSTAINABILITY,https://doi.org/10.3390/su12041355,2,3,,,,,,,
241,1469,2020,"Woo, Heejin",Foreign venture capital firms and internationalization of ventures,MULTINATIONAL BUSINESS REVIEW,https://doi.org/10.1108/mbr-09-2019-0104,1,3,,,,,,,
242,1475,2020,"Du, Jian; Zheng, Qiuxia; Chang, Xiaoran",Dynamic process: international diversification and innovation performance from emerging economies,ASIAN JOURNAL OF TECHNOLOGY INNOVATION,https://doi.org/10.1080/19761597.2020.1726781,0,3,,,,,,,
243,1478,2020,"Rienda, Laura; Claver, Enrique; Andreu, Rosario","Family involvement, internationalisation and performance: An empirical study of the Spanish hotel industry",JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,https://doi.org/10.1016/j.jhtm.2020.01.002,1,3,,,,,,,
244,1505,2020,"Song, Hyoung Ju; Yoon, Yu Na; Kang, Kyung Ho",The relationship between board diversity and firm performance in the lodging industry: The moderating role of internationalization,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,https://doi.org/10.1016/j.ijhm.2020.102461,?,3,,,,,,,
245,1506,2020,"Mubarik, Muhammad Shujaat; Devadason, Evelyn S.; G",Human capital and export performance of small and medium enterprises in Pakistan,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,https://doi.org/10.1108/ijse-03-2019-0198,3,3,,,,,,,
246,1540,2020,Anh Tu Phan; Thi Bach Yen Tran; Thanh Thuy Lu,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,DECISION SCIENCE LETTERS,https://doi.org/10.5267/j.dsl.2020.7.001,?,3,,,,,,,
247,1542,2020,"Benito-Osorio, Diana; Colino, Alberto; Guerras-Mar",The combined effects of product and geographical diversification on performance: Evidence in manufacturing SMEs,BRQ-BUSINESS RESEARCH QUARTERLY,https://doi.org/10.1177/2340944420916332,0,3,,,,,,,
248,1551,2020,"Muller, Alan",When Does Corporate Social Performance Pay for International Firms?,BUSINESS & SOCIETY,https://doi.org/10.1177/0007650318816957,?,3,,,,,,,
249,1554,2020,Tu Anh Phan; Thuy Thi Kim Nguyen; Triet Minh Phan,The S-Shaped Relationship Between internationalization and Performance: Empirical Evidence from Laos,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,https://doi.org/10.13106/jafeb.2020.vol7.no11.357,6,3,,,,,,,
250,1590,2020,"Falahat, Mohammad; Lee, Yan Yin; Ramayah, T.; Soto",Modelling the effects of institutional support and international knowledge on competitive capabilities and international performance: Evidence from an emerging economy,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2020.100779,0,3,,,,,,,
251,1629,2020,"Prakash, J. Vineesh; Nauriyal, D. K.",Automotive Components Industry and Profitability Factors: Evidence from India,VISION-THE JOURNAL OF BUSINESS PERSPECTIVE,https://doi.org/10.1177/0972262920955007,3,3,,,,,,,
252,1697,2020,"Esaku, Stephen","Investments, export entry and export intensity in small manufacturing firms",JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,https://doi.org/10.1007/s40812-020-00156-9,?,3,,,,,,,
253,2358,2020,Sraha G.,"International experience, commitment, distribution adaptation and performance: a study of Ghanaian firms in B2B export markets",Journal of Business and Industrial Marketing,https://doi.org/10.1108/jbim-05-2019-0197,3,3,,,,,,,
254,2363,2020,Tu P.A.,The moderating effects of managers’ experience and gender on internationalization and firm performance of manufacturing enterprises in Turkey,Accounting,https://doi.org/10.5267/j.ac.2020.9.006,2,3,,,,,,,
255,2364,2020,Cristofaro M.,Internationalisation strategies and firms' performance. A co-evolutionary study on Italian SMEs,International Journal of Globalisation and Small B,https://doi.org/10.1504/ijgsb.2020.109154,1,3,,,,,,,
256,2368,2020,Biswas A.,A region-wise analysis of export performance of msme sector in India and its determinants,Journal of Critical Reviews,https://doi.org/10.31838/jcr.07.11.94,3,3,,,,,,,
257,273,2019,"Iandolo, Stefano; Ferragina, Anna Maria",Does persistence in internationalization and innovation influence firms' performance?,JOURNAL OF ECONOMIC STUDIES,https://doi.org/10.1108/jes-04-2019-0152,0,3,,,,,,,
258,479,2019,"Ferrante, Maria R.; Freo, Marzia",Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors and panel attrition,WORLD ECONOMY,https://doi.org/10.1111/twec.12807,?,3,,,,,,,
259,528,2019,"Wu, Jie; Park, Seung Ho",The role of international institutional complexity on emerging market multinational companies' innovation,GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1166,0,3,,,,,,,
260,1328,2019,"Cos, Pilar; Colonn, Antonio; Cabases, Angels",Geographic export diversification: Determinants and their link with export performance,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1002/tie.21991,?,3,,,,,,,
261,1333,2019,"Vaughan, Yue; Koh, Yoon",Role of resource slack in rapid international expansion of restaurant companies,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY ,https://doi.org/10.1108/ijchm-07-2017-0415,1,3,,,,,,,
262,1341,2019,"Fuertes-Callen, Yolanda; Cuellar-Fernandez, Beatri",INTER-RELATIONSHIP BETWEEN FIRM GROWTH AND PROFITABILITY IN A CONTEXT OF ECONOMIC CRISIS,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,https://doi.org/10.3846/jbem.2019.6928,1,3,,,,,,,
263,1350,2019,"Mulliqi, Arta; Adnett, Nick; Hisarciklilar, Mehtap",Human capital and exports: A micro-level analysis of transition countries,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPM,https://doi.org/10.1080/09638199.2019.1603319,?,3,,,,,,,
264,1358,2019,"Rijesh, R.",International Trade and Productivity Growth in Indian Industry: Evidence from the Organized Manufacturing Sector,JOURNAL OF SOUTH ASIAN DEVELOPMENT,https://doi.org/10.1177/0973174119839878,3,3,,,,,,,
265,1364,2019,"Gao, Xincai; Ji, Zhongyang; Ahmad, Fayyaz; Draz, M",Financial Support and Growth of Township and Village Enterprises in China: Fresh Evidence From Regional Analyses,SAGE OPEN,https://doi.org/10.1177/2158244019858444,2,3,,,,,,,
266,1379,2019,"Gattai, Valeria; Mechelli, Rajssa; Natale, Piergio",Some twins are not alike: FDI premia in the former Soviet states,INTERNATIONAL JOURNAL OF EMERGING MARKETS,https://doi.org/10.2139/ssrn.2795139,0,3,,,,,,,
267,1383,2019,"Su, Yiyi; Fan, Di; Rao-Nicholson, Rekha",Internationalization of Chinese banking and financial institutions: a fuzzy-set analysis of the leader-TMT dynamics,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,https://doi.org/10.1080/09585192.2017.1359793,2,3,,,,,,,
268,1391,2019,"Thakur-Wernz, Pooja; Samant, Shantala",Relationship between international experience and innovation performance: The importance of organizational learning for EMNEs,GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1183,?,3,,,,,,,
269,1397,2019,"Maity, Bipasha; Suresh, Vidya; Baidya, Mehir Kumar","PERFORMANCE OF INDIAN CEMENT INDUSTRY: DRIVERS, MODELS AND EMPIRICS",GLOBAL ECONOMY JOURNAL,https://doi.org/10.1142/s219456591950009x,3,3,,,,,,,
270,1401,2019,"Tajeddin, Mahdi; Carney, Michael",African Business Groups: How Does Group Affiliation Improve SMEs' Export Intensity?,ENTREPRENEURSHIP THEORY AND PRACTICE,https://doi.org/10.1177/1042258718779586,0,3,,,,,,,
271,1408,2019,"Jung, Ji-Eun; Hur, Jung",Overseas Subsidiaries and the Productivity of Two-way Trading Manufacturers in Global Value Chains,JOURNAL OF KOREA TRADE,https://doi.org/10.35611/jkt.2019.23.3.1,1,3,,,,,,,
272,1425,2019,"Mostafiz, Md Imtiaz; Sambasivan, Murali; Goh, See ",Impacts of dynamic managerial capability and international opportunity identification on firm performance,MULTINATIONAL BUSINESS REVIEW,https://doi.org/10.1108/mbr-09-2018-0061,3,3,,,,,,,
273,1428,2019,"Angel Zuniga-Vicente, Jose; Benito-Osorio, Diana; ",The effects of international diversification on the link between product diversification and performance in a boom and bust cycle: Evidence from Spanish firms (1994-2014),JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2019.100687,1,3,,,,,,,
274,1434,2019,Quy Thi Vo,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,https://doi.org/10.13106/jafeb.2019.vol6.no4.37,3,3,,,,,,,
275,1440,2019,"Chong, Poh Ling; Ong, Tze San; Abdullah, Amalina; ",Effect of Internationalisation on Balanced Scorecard among Malaysian Small and Medium Enterprises,ASIAN JOURNAL OF ACCOUNTING AND GOVERNANCE,https://doi.org/10.5267/j.msl.2019.5.025,2,3,,,,,,,
276,1474,2019,"Yoo, Sung-Joon; Kim, Hag-Min; Lee, Yea-Rim",The Effects of International Entrepreneurial Orientation and Entrepreneurial Activities on SMEs' Export Performance,JOURNAL OF KOREA TRADE,https://doi.org/10.35611/jkt.2019.23.7.156,1,3,,,,,,,
277,1501,2019,"Goldar, Bishwanath; Chawla, Isha; Behera, Smruti R",Trade liberalization and productivity of Indian manufacturing firms,INDIAN GROWTH AND DEVELOPMENT REVIEW,https://doi.org/10.1108/igdr-10-2018-0108,3,3,,,,,,,
278,2374,2019,Sunday O.T.U.Y.A.,Influence of Companies’ Governance Process on Sustainability Reporting in Nigeria,International Journal of Applied Economics Finance,https://doi.org/10.33094/8.2017.2019.51.31.38,4,3,,,,,,,
279,2378,2019,Stocker M.,"Survival, growth, and performance of Hungarian international new ventures",Society and Economy,https://doi.org/10.1556/204.2019.41.1.4,2,3,,,,,,,
280,2379,2019,Wu R.,Does multinationality matter the firm performance?,Journal of Distribution Science,https://doi.org/10.15722/jds.17.07.201907.45,?,3,,,,,,,
281,481,2018,"Bougheas, Spiros; Lim, Hosung; Mateut, Simona; Miz","Foreign currency borrowing, exports and firm performance: evidence from a currency crisis",EUROPEAN JOURNAL OF FINANCE,https://doi.org/10.1080/1351847x.2017.1421246,1,3,,,,,,,
282,480,2018,"Sharma, Chandan","Exporting, access of foreign technology, and firms' performance: Searching the link in Indian manufacturing",QUARTERLY REVIEW OF ECONOMICS AND FINANCE,https://doi.org/10.1016/j.qref.2017.11.015,2,3,,,,,,,
283,71,2018,"Mullen, Cormac; Luff, Martha O'Hagan",Alphabet soup: the relationship between multinationality and firm performance,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1080/19186444.2018.1556519,0,3,,,,,,,
284,1204,2018,"Eppinger, Peter S.; Meythaler, Nicole; Sindlinger,",The great trade collapse and the Spanish export miracle: Firm-level evidence from the crisis,WORLD ECONOMY,https://doi.org/10.1111/twec.12530,1,3,,,,,,,
285,1210,2018,"Coudounaris, Dafnis N.",Export promotion programmes for assisting SMEs,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,https://doi.org/10.1108/ribs-06-2017-0050,?,3,,,,,,,
286,1211,2018,"Cho, Jaeyoung; Lee, Jangwoo",Internationalization and performance of Korean SMEs: the moderating role of competitive strategy,ASIAN BUSINESS & MANAGEMENT,https://doi.org/10.1057/s41291-018-0036-8,1,3,,,,,,,
287,1219,2018,"Li, Anran",Foreign subsidiaries' status: Distinctive determinants and implications for subsidiary performance,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1002/tie.21956,?,3,,,,,,,
288,1226,2018,"Ciszewska-Mlinaric, Mariola","Export Intensity, Geographic Diversification and the Role of Public Support: The Evidence from Old and New Europe SMEs",ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,https://doi.org/10.15678/eber.2018.060203,?,3,,,,,,,
289,1233,2018,"Zhang, Man; Hartley, Janet",Does guanxi influence product performance and customer loyalty?,JOURNAL OF ASIA BUSINESS STUDIES,https://doi.org/10.1108/jabs-06-2016-0082,2,3,,,,,,,
290,1236,2018,"Georgopoulos, Antonios; Glaister, Keith W.",Firm Heterogeneity and Performance in a Turbulent Economic Environment: Evidence from Greece,EUROPEAN MANAGEMENT REVIEW,https://doi.org/10.1111/emre.12144,1,3,,,,,,,
291,1238,2018,"Nuryakin; Ardyan, Elia",SMEs' marketing performance: the mediating role of market entry capability,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURS,https://doi.org/10.1108/jrme-03-2016-0005,3,3,,,,,,,
292,1239,2018,"Fuad, Mohammad; Akbar, Mohammad",International new ventures and firm performance: evidence from India,EUROPEAN BUSINESS REVIEW,https://doi.org/10.1108/ebr-07-2016-0099,3,3,,,,,,,
293,1255,2018,"Xu, Xiaodong; Zeng, Saixing; Chen, Hongquan",Signaling good by doing good: How does environmental corporate social responsibility affect international expansion?,BUSINESS STRATEGY AND THE ENVIRONMENT,https://doi.org/10.1002/bse.2044,2,3,,,,,,,
294,1258,2018,"Sadeghi, Arash; Rose, Elizabeth L.; Chetty, Sylvie",Disentangling the effects of post-entry speed of internationalisation on export performance of INVs,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING E,https://doi.org/10.1177/0266242618775169,?,3,,,,,,,
295,1260,2018,"Batsakis, Georgios; Wood, Geoffrey; Azar, Goudarz;",International diversification and firm performance in the post-acquisition period: A resource dependence perspective,JOURNAL OF BUSINESS RESEARCH,https://doi.org/10.1016/j.jbusres.2018.02.025,?,3,,,,,,,
296,1275,2018,"Freixanet, Joan; Renart, Gemma; Rialp-Criado, Alex",The Impact of Managers' Global Orientation on SME Export and Economic Performance,MANAGEMENT INTERNATIONAL REVIEW,https://doi.org/10.1007/s11575-018-0358-y,?,3,,,,,,,
297,1280,2018,"Bhatia, Aparna; Thakur, Anu",Corporate diversification and firm performance: an empirical investigation of causality,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,https://doi.org/10.1108/ijoa-04-2017-1149,3,3,,,,,,,
298,1287,2018,"Wiley, Carolyn; Monllor-Tormos, Mireia",Board Gender Diversity in the STEM&F Sectors: The Critical Mass Required to Drive Firm Performance,JOURNAL OF LEADERSHIP & ORGANIZATIONAL STUDIES,https://doi.org/10.1177/1548051817750535,?,3,,,,,,,
299,1288,2018,"Rua, Orlando; Franca, Alexandra; Fernandez Ortiz, ",Key drivers of SMEs export performance: the mediating effect of competitive advantage,JOURNAL OF KNOWLEDGE MANAGEMENT,https://doi.org/10.1108/jkm-07-2017-0267,?,3,,,,,,,
300,1294,2018,"Kiss, Andreea N.; Fernhaber, Stephanie; McDougall-","Slack, Innovation, and Export Intensity: Implications for Small- and Medium-Sized Enterprises",ENTREPRENEURSHIP THEORY AND PRACTICE,https://doi.org/10.1177/1042258718795318,0,3,,,,,,,
301,1318,2018,"Choi, Hyundo; Yi, Donggyu",Environmental innovation inertia: Analyzing the business circumstances for environmental process and product innovations,BUSINESS STRATEGY AND THE ENVIRONMENT,https://doi.org/10.1002/bse.2228,1,3,,,,,,,
302,2386,2018,Ali J.,International Export Orientation and Firm’s Performance: Evidence from Enterprise Survey Data of India,Journal of Asia Pacific Business,https://doi.org/10.1080/10599231.2018.1525248,3,3,,,,,,,
303,2388,2018,Vu M.,Productivity and wage premiums: Evidence from Vietnamese ordinary and processing exporters,International Economics,https://doi.org/10.1016/j.inteco.2017.10.006,3,3,,,,,,,
304,2389,2018,Costa A.D.,Internationalization patterns and their effects on company performance,Journal of Operations and Supply Chain Management,https://doi.org/10.12660/joscmv11n1p53-63,?,3,,,,,,,
305,2393,2018,Prasad K.,Influence of financial distress on exchange rate exposure: Evidence from India,Afro Asian Journal of Finance and Accounting,https://doi.org/10.1504/aajfa.2018.095239,3,3,,,,,,,
306,2394,2018,Purwanto S.,"Financial assistance, marketing assistance and export commitment to improve export performance",European Research Studies Journal,https://doi.org/10.35808/ersj/1104,?,3,,,,,,,
307,482,2017,"Tse, Caleb H.; Yu, Linhui; Zhu, Jianjun",A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Productivity Gains,JOURNAL OF MANAGEMENT,https://doi.org/10.1177/0149206315573998,?,3,,,,,,,
308,483,2017,"Metz, Philipp","Distances, multinational organisational learning, and firm performance: a new perspective",INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,https://doi.org/10.1504/ijbe.2017.10006208,?,3,,,,,,,
309,1135,2017,"Qiu, Bin; Yan, Zhijun","Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms",PACIFIC ECONOMIC REVIEW,https://doi.org/10.1111/1468-0106.12206,?,3,,,,,,,
310,1148,2017,"Lana, Jeferson; Marcon, Rosilene; Bandeira-de-Mell",Financial dimension of internationalization: serving two masters,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF ,https://doi.org/10.1108/cg-05-2016-0110,?,3,,,,,,,
311,1160,2017,"Rialp-Criado, Alex; Komochkoya, Ksenia",Innovation strategy and export intensity of Chinese SMEs: the moderating role of the home-country business environment,ASIAN BUSINESS & MANAGEMENT,https://doi.org/10.1057/s41291-017-0018-2,2,3,,,,,,,
312,1161,2017,"Mithas, Sunil; Whitaker, Jonathan; Tafti, Ali","Information Technology, Revenues, and Profits: Exploring the Role of Foreign and Domestic Operations",INFORMATION SYSTEMS RESEARCH,https://doi.org/10.1287/isre.2017.0689,1,3,,,,,,,
313,1177,2017,"Cordeiro, Matheus Baldo; Ogasavara, Mario Henrique",The impact of within-country and within-firm factors on Japanese foreign subsidiary performance during economic crisis,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION,https://doi.org/10.1108/apjba-12-2016-0113,1,3,,,,,,,
314,1184,2017,"Lukason, Oliver; Vissak, Tiia",Failure processes of exporting firms: evidence from France,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,https://doi.org/10.1108/ribs-03-2017-0020,1,3,,,,,,,
315,1189,2017,"Prange, Christiane; Pinho, Jose Carlos",How personal and organizational drivers impact on SME international performance: The mediating role of organizational innovation,INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2017.04.004,?,3,,,,,,,
316,1191,2017,"Gattai, Valeria; Natale, Piergiovanna",NEW FACTS ABOUT BRIC MULTINATIONALS: FROM MACRO TO MICRO EVIDENCE,CHALLENGE OF BRIC MULTINATIONALS,https://doi.org/10.1108/s1745-886220160000011007,0,3,,,,,,,
317,1199,2017,"Abdolvand, Mohammad Ali; Keisami, Mina Khalili",Examining drivers of e-commerce marketing capabilities and their impact on export venture e-commerce performance and export market growth: mediating role of efficiencies,HELIX,https://doi.org/10.29042/2017-2141-2149,?,3,,,,,,,
318,1206,2017,"Meng, Liang; Liang, Ying-Ying",Analysis on the factors of Chinese manufacturing enterprises' direct investment abroad based on Probit model,JOURNAL OF INTERDISCIPLINARY MATHEMATICS,https://doi.org/10.1080/09720502.2017.1382199,2,3,,,,,,,
319,1242,2017,"Nyamulinda, Bideri Ishuheri; Gaju, Alice Karema",Export Performance of SMEs in the Rwandan Mining Sector: Challenges and Prospects,MANAGEMENT CHALLENGES IN DIFFERENT TYPES OF AFRICA,https://doi.org/10.1007/978-981-10-4536-3_12,6,3,,,,,,,
320,1299,2017,"Li, Ran; Cheong, Kee-Cheok",Huawei and ZTE in Malaysia: The Localisation of Chinese Transnational Enterprises,JOURNAL OF CONTEMPORARY ASIA,https://doi.org/10.1080/00472336.2017.1346697,2,3,,,,,,,
321,2395,2017,Capolupo R.,Internationalization modes and productivity of Italian manufacturing: Some firm-level evidence,International Economics,https://doi.org/10.1016/j.inteco.2017.06.004,1,3,,,,,,,
322,2401,2017,Bermúdez-Edo M.,The Influence of International Scope on the Relationship Between Patented Environmental Innovations and Firm Performance,Business and Society,https://doi.org/10.1177/0007650315576133,?,3,,,,,,,
323,2404,2017,Pacheco L.,Financial structure effects on export intensity and diversification: The case of Portuguese industrial firms,International Journal of Globalisation and Small B,https://doi.org/10.1504/ijgsb.2017.089900,1,3,,,,,,,
324,2405,2017,Pacheco L.M.,Internationalization vs family ownership and management: the case of Portuguese wine firms,International Journal of Wine Business Research,https://doi.org/10.1108/ijwbr-10-2016-0034,?,3,,,,,,,
325,303,2016,"Zhao, Hongxin (John); Ma, Jieqiong (Jeccy)","Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterprises",JOURNAL OF EAST-WEST BUSINESS,https://doi.org/10.1080/10669868.2016.1215667,2,3,,,,,,,
326,1041,2016,"Charoensukmongkol, Peerayuth",Cultural intelligence and export performance of small and medium enterprises in Thailand: Mediating roles of organizational capabilities,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING E,https://doi.org/10.1177/0266242614539364,2,3,,,,,,,
327,1044,2016,"De Clercq, Dirk; Zhou, Lianxi; Wu, Aiqi",Unpacking the relationship between young ventures' international learning effort and performance in the context of an emerging economy,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOUR,https://doi.org/10.1007/s11365-014-0328-1,0,3,,,,,,,
328,1058,2016,"Vithessonthi, Chaiporn; Racela, Olimpia C.",Short- and long-run effects of internationalization and R&D intensity on firm performance,JOURNAL OF MULTINATIONAL FINANCIAL MANAGEMENT,https://doi.org/10.1016/j.mulfin.2015.12.001,?,3,,,,,,,
329,1061,2016,"Sun, Sizhong; Anwar, Sajid","Interrelationship among foreign presence, domestic sales and export intensity in Chinese manufacturing industries",APPLIED ECONOMICS,https://doi.org/10.1080/00036846.2015.1122733,2,3,,,,,,,
330,1064,2016,"Tan, Brian Roy; Chintakananda, Asda",THE EFFECTS OF HOME COUNTRY POLITICAL AND LEGAL INSTITUTIONS ON FIRMS' GEOGRAPHIC DIVERSIFICATION PERFORMANCE,GLOBAL STRATEGY JOURNAL,https://doi.org/10.1002/gsj.1117,?,3,,,,,,,
331,1073,2016,"Hwang, Yong-Sik; Chen, Dong",A reversal theory in internationalization: case of Korean jewelry inside China,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-12-2015-0297,0,3,,,,,,,
332,1081,2016,"Boehe, Dirk Michael; Qian, Gongming; Peng, Mike W.","Export intensity, scope, and destinations: Evidence from Brazil",INDUSTRIAL MARKETING MANAGEMENT,https://doi.org/10.1016/j.indmarman.2016.01.006,2,3,,,,,,,
333,1091,2016,"Vithessonthi, Chaiporn","Capital investment, internationalization, and firm performance: Evidence from Southeast Asian countries",RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,https://doi.org/10.2139/ssrn.2703930,?,3,,,,,,,
334,1110,2016,"Panda, Debadutta; Reddy, Sriharsha",Resource based view of internationalization: evidence from Indian commercial banks,JOURNAL OF ASIA BUSINESS STUDIES,https://doi.org/10.1108/jabs-10-2014-0082,3,3,,,,,,,
335,1112,2016,"Prasetyo, Aries Heru",What Drives International Competitiveness? An Empirical Test in Emerging Indonesian Market,JOURNAL OF COMPETITIVENESS,https://doi.org/10.7441/joc.2016.04.08,3,3,,,,,,,
